식품명,총개수,유효개수,제거개수,대표행 필터통과
유기농 레몬즙 100,7,0,7,FALSE
콩비지찌개,7,0,7,FALSE
쿠키앤크림,7,0,7,FALSE
토마토주스,7,0,7,FALSE
통밀베이글,7,0,7,FALSE
생칼국수,15,9,6,TRUE
떡국떡,10,4,6,TRUE
뺑오쇼콜라,10,4,6,FALSE
크루키,10,4,6,TRUE
플레인휘낭시에,10,4,6,TRUE
몽블랑,9,3,6,FALSE
소세지빵,9,3,6,FALSE
초코아몬드쿠키,9,3,6,TRUE
함박스테이크,9,3,6,FALSE
호두파이,9,3,6,FALSE
깨찰빵,8,2,6,FALSE
두부과자,8,2,6,TRUE
레몬 마들렌,8,2,6,FALSE
로제떡볶이,8,2,6,FALSE
메밀소바,8,2,6,FALSE
생메밀면,8,2,6,TRUE
생크림카스테라,8,2,6,FALSE
옥수수국수,8,2,6,FALSE
가래떡,7,1,6,FALSE
갈릭바게트,7,1,6,TRUE
감자탕,7,1,6,FALSE
기본김밥,7,1,6,FALSE
런천미트,7,1,6,FALSE
볶음참깨,7,1,6,FALSE
소고기고추장,7,1,6,TRUE
칡냉면,7,1,6,FALSE
크로플,7,1,6,FALSE
피자빵,7,1,6,FALSE
NFC 유기농 레몬즙 100%,6,0,6,FALSE
간장게장,6,0,6,FALSE
고추장멸치볶음,6,0,6,FALSE
김부각,6,0,6,FALSE
나주곰탕,6,0,6,FALSE
냉면육수,6,0,6,FALSE
닭볶음탕,6,0,6,FALSE
돼지갈비찜,6,0,6,FALSE
들깨강정,6,0,6,FALSE
라자냐,6,0,6,FALSE
레몬생강청,6,0,6,FALSE
레몬에이드,6,0,6,FALSE
레몬청,6,0,6,FALSE
마녀스프,6,0,6,FALSE
모카케이크,6,0,6,FALSE
무화과깜빠뉴,6,0,6,FALSE
무화과잼,6,0,6,FALSE
백김치,6,0,6,FALSE
복숭아아이스티,6,0,6,FALSE
비어슁켄,6,0,6,FALSE
빨미까레,6,0,6,FALSE
뼈해장국,6,0,6,FALSE
사과주스,6,0,6,FALSE
사과즙,6,0,6,FALSE
석류콜라겐,6,0,6,FALSE
소곱창전골,6,0,6,FALSE
소연골 콘드로이친 1200,6,0,6,FALSE
순대국,6,0,6,FALSE
순대국밥,6,0,6,FALSE
시저샐러드,6,0,6,FALSE
식혜,6,0,6,FALSE
쌈장,6,0,6,FALSE
애플망고,6,0,6,FALSE
양념LA갈비,6,0,6,FALSE
어묵탕,6,0,6,FALSE
열무김치말이국수,6,0,6,FALSE
영양닭죽,6,0,6,FALSE
오렌지주스,6,0,6,FALSE
오징어,6,0,6,FALSE
옥수수식빵,6,0,6,FALSE
우엉조림,6,0,6,FALSE
우유크림빵,6,0,6,FALSE
유자차,6,0,6,FALSE
