식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),니코틴산(mg),니코틴아마이드(mg),비오틴(μg),비타민 B6 / 피리독신(mg),비타민 B12(μg),엽산(μg DFE),콜린(mg),판토텐산(mg),비타민 D2(μg),비타민 D3(μg),비타민 E(mg α-TE),알파 토코페롤(mg),베타 토코페롤(mg),감마 토코페롤(mg),델타 토코페롤(mg),알파 토코트리에놀(mg),베타 토코트리에놀(mg),감마 토코트리에놀(mg),델타 토코트리에놀(mg),비타민 K(μg),비타민 K1(μg),비타민 K2(μg),갈락토오스(g),과당(g),당알콜(g),맥아당(g),알룰로오스(g),에리스리톨(g),유당(g),자당(g),타가토스(g),포도당(g),불포화지방산(g),EPA와 DHA의 합(mg),가돌레산(20:1) / 에이코센산(20:1)(mg),감마 리놀렌산(18:3(n-6))(mg),네르본산(24:1)(mg),도코사디에노산(22:2)(mg),도코사펜타에노산/토코사펜타엔산(22:5(n-3))(mg),DHA / 도코사헥사에노산/도코사헥사엔산(22:6(n-3))(mg),디호모리놀렌산/에이코사트리에노산(20:3(n-3))(mg),라우르산(12:0)(mg),리그노세르산(24:0)(mg),리놀레산(18:2(n-6))(g),미리스톨레산(14:1)(mg),미리스트산(14:0)(mg),박센산(18:1(n-7))(mg),베헨산(22:0)(mg),부티르산(4:0)(mg),스테아르산(18:0)(mg),스테아리돈산(18:4(n-3))(mg),아라키돈산(20:4(n-6))(mg),아라키드산(20:0)(mg),알파 리놀렌산(18:3(n-3))(g),에루크산(22:1)(mg),에이코사디에노산(20:2(n-6))(mg),에이코사트리에노산(20:3(n-6))(mg),EPA / 에이코사펜타에노산(20:5(n-3))(mg),오메가3 지방산(g),오메가6 지방산(g),올레산(18:1(n-9))(mg),카프로산(6:0)(mg),카프르산(10:0)(mg),카프릴산(8:0)(mg),트라이데칸산(13:0)(mg),트랜스 리놀레산(18:2t)(mg),트랜스 리놀렌산(18:3t)(mg),트랜스 올레산(18:1(n-9t)(mg),트리코산산(23:0)(mg),팔미톨레산(16:1)(mg),팔미트산(16:0)(mg),펜타데칸산(15:0)(mg),헨에이코산산(21:0)(mg),헵타데센산(17:1)(mg),헵타데칸산(17:0)(mg),구리(μg),마그네슘(mg),망간(mg),몰리브덴(μg),불소(mg),셀레늄(μg),아연(mg),염소(mg),요오드(μg),크롬(μg),아미노산(mg),필수아미노산(mg),비필수아미노산(mg),글루탐산(mg),글라이신(mg),라이신(mg),류신(mg),메티오닌(mg),발린(mg),세린(mg),시스테인(mg),아르기닌(mg),아스파르트산(mg),알라닌(mg),이소류신(mg),타우린(mg),트레오닌(mg),트립토판(mg),티로신(mg),페닐알라닌(mg),프롤린(mg),히스티딘(mg),토코페롤(mg),토코트리에놀(mg),출처코드,출처명,1회 섭취참고량,식품중량,품목제조보고번호,제조사명,수입업체명,유통업체명,수입여부,원산지국코드,원산지국명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,카페인(mg)
STD-DB10_2-001502,"멍게, 붉은멍게",S,국가표준식품성분표,,수('09),,어패류 및 그 제품,,"멍게, 붉은멍게",,,,,,,100g,75,82.2,9.199999999999999,2.6,2.3,3.7,-,-,37,1.8,144,-,-,0,0,0,0.08,0.12,2,2,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,,-,-,,-,-,-,-,-,-,-,,,-,,,-,,,,,-,,-,,-,-,-,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-001503,문어,S,국가표준식품성분표,,JAPAN('20),,어패류 및 그 제품,,문어,,,,,,,100g,70,81.09999999999999,16.4,0.7,1.7,0.1,-,(0),16,0.6,160,290,280,5,5,-,0.03,0.09,2.2,Tr,(0),,0.07000000000000001,-,-,-,-,0.07000000000000001,1.3,4,,0.24,-,-,1.9,1.9,0,0,0,-,-,-,-,Tr,-,-,-,-,,-,,,-,-,,-,0.17,,10,-,4,0,6,68,-,,,1,,,-,,,,,21,,Tr,,1,0,40,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,940,,1000,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-001504,"문어, 삶은것",S,국가표준식품성분표,,JAPAN('20),,어패류 및 그 제품,,"문어, 삶은것",,,,,,,100g,91,76.2,21.7,0.7,1.3,0.1,-,(0),19,0.2,120,240,230,5,5,0,0.03,0.05,1.9,Tr,(0),,0.06,-,-,-,5.6,0.07000000000000001,1.2,2,,0.17,-,-,1.9,1.9,0,0,0,-,-,-,-,(0),-,-,-,-,,-,,,-,-,,-,0.14,,8,-,1,0,5,63,-,,,Tr,,,-,,,,,15,,Tr,,1,0,35,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,"(1,200)",,"(1,400)",,,,,,,,(820),,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-001505,"문어, 대문어",S,국가표준식품성분표,,수('09),,어패류 및 그 제품,,"문어, 대문어",,,,,,,100g,58,85.40000000000001,12.2,0.6,1.5,0.3,-,-,21,0.7,215,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,,-,-,,-,-,-,-,-,-,-,,,-,,,-,,,,,-,,-,,-,-,-,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-001506,"문어, 참문어",S,국가표준식품성분표,,수('09),,어패류 및 그 제품,,"문어, 참문어",,,,,,,100g,56,84.40000000000001,12.7,0.2,2.6,0.1,-,-,23,0.5,160,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,,-,-,,-,-,-,-,-,-,-,,,-,,,-,,,,,-,,-,,-,-,-,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-001507,미더덕,S,국가표준식품성분표,,수('09),,어패류 및 그 제품,,미더덕,,,,,,,100g,44,87.59999999999999,4.3,1.2,2.8,4.1,-,0,40,3.2,111,-,-,0,0,-,0.03,0.13,2,4,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,,-,-,,-,-,-,-,-,-,-,,,-,,,-,,,,,-,,-,,-,-,-,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-001508,"미더덕, 주름미더덕",S,국가표준식품성분표,,수('09),,어패류 및 그 제품,,"미더덕, 주름미더덕",,,,,,,100g,52,84.7,9,0.7,3.3,2.3,-,-,89,8.5,142,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,,-,-,,-,-,-,-,-,-,-,,,-,,,-,,,,,-,,-,,-,-,-,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-001509,"새우, 가시발새우",S,국가표준식품성분표,,수('09),,어패류 및 그 제품,,"새우, 가시발새우",,,,,,,100g,71,81.7,15.2,0.5,2,0.6,-,0,196,7.4,206,-,-,0,0,-,0.02,0.04,2.4,0,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,,-,-,,-,-,-,-,-,-,-,,,-,,,-,,,,,-,,-,,-,-,-,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-001510,"새우, 각시흰새우",S,국가표준식품성분표,,수('09),,어패류 및 그 제품,,"새우, 각시흰새우",,,,,,,100g,85,77.8,15.7,1.6,3.9,1,-,-,1341,1.8,329,-,-,9,9,0,0.05,0.1,1.6,2,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,,-,-,,-,-,-,-,-,-,-,,,-,,,-,,,,,-,,-,,-,-,-,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
STD-DB10_2-001511,"새우, 긴뿔천길새우",S,국가표준식품성분표,,수('09),,어패류 및 그 제품,,"새우, 긴뿔천길새우",,,,,,,100g,92,77.3,20,0.8,1.9,0,-,-,71,1.4,138,-,-,0,tr,0,0.04,0.1,2.7,tr,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,-,-,,-,-,,-,-,-,-,-,-,-,,,-,,,-,,,,,-,,-,,-,-,-,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
