식품명,총개수,유효개수,제거개수,대표행 필터통과
수수밥,5,1,4,FALSE
어묵볶음_채소,5,1,4,FALSE
오므라이스,5,1,4,FALSE
잡채밥,5,1,4,FALSE
취나물_된장,5,1,4,FALSE
커피_아메리카노 아이스(ICED) (R),5,1,4,FALSE
커피_아포가토,5,1,4,FALSE
콘치즈구이,5,1,4,FALSE
허브차_캐모마일,5,1,4,TRUE
가자미튀김,4,0,4,FALSE
감자구이,4,0,4,FALSE
강낭콩밥,4,0,4,FALSE
고사리나물,4,0,4,FALSE
고춧잎나물,4,0,4,FALSE
과ㆍ채주스_망고 주스,4,0,4,FALSE
과일샐러드,4,0,4,FALSE
김밥_소고기,4,0,4,FALSE
김치볶음_돼지고기,4,0,4,FALSE
김치찌개_꽁치,4,0,4,FALSE
김치찜_돼지고기,4,0,4,FALSE
깐풍기,4,0,4,FALSE
깻잎전,4,0,4,FALSE
꼬치구이_닭고기,4,0,4,FALSE
닭강정,4,0,4,FALSE
닭고기육개장,4,0,4,FALSE
닭날개구이,4,0,4,FALSE
닭다리구이,4,0,4,FALSE
더덕무침,4,0,4,FALSE
도라지나물,4,0,4,FALSE
돈가스,4,0,4,FALSE
돼지고기 스테이크,4,0,4,FALSE
된장국_아욱,4,0,4,FALSE
두부국,4,0,4,FALSE
떡볶이_소고기,4,0,4,FALSE
떡산적_소고기,4,0,4,FALSE
마늘쫑무침,4,0,4,FALSE
마카롱_초코 마카롱,4,0,4,FALSE
멸치볶음,4,0,4,FALSE
무나물,4,0,4,FALSE
배추 된장국,4,0,4,FALSE
배추전,4,0,4,FALSE
버섯전골,4,0,4,FALSE
볶음 우동,4,0,4,FALSE
볶음밥_김치_돼지고기,4,0,4,FALSE
볶음밥_소고기,4,0,4,FALSE
부추무침,4,0,4,FALSE
부추무침_양파,4,0,4,FALSE
부추전,4,0,4,FALSE
북어강정,4,0,4,FALSE
불낙전골,4,0,4,FALSE
사골국,4,0,4,FALSE
새우 탕수,4,0,4,FALSE
소고기 장조림,4,0,4,FALSE
소고기버섯죽,4,0,4,FALSE
소고기볶음_고추장,4,0,4,FALSE
소고기채소볶음,4,0,4,FALSE
소등심 스테이크,4,0,4,FALSE
소등심구이,4,0,4,FALSE
스무디_밀크 쉐이크,4,0,4,FALSE
시금치나물,4,0,4,FALSE
시래기 된장국,4,0,4,FALSE
애호박찜,4,0,4,FALSE
양상추 샐러드,4,0,4,FALSE
에이드_청포도 에이드 (L),4,0,4,FALSE
오리고기로스,4,0,4,FALSE
오리불고기,4,0,4,FALSE
오이생채_부추,4,0,4,FALSE
오징어탕수,4,0,4,FALSE
오징어튀김,4,0,4,FALSE
옥수수밥,4,0,4,FALSE
완자전,4,0,4,FALSE
우엉볶음,4,0,4,FALSE
육개장_소고기,4,0,4,FALSE
임연수튀김,4,0,4,FALSE
잔멸치볶음,4,0,4,FALSE
장국국수,4,0,4,FALSE
전복죽,4,0,4,FALSE
제육볶음,4,0,4,FALSE
채소죽,4,0,4,FALSE
채소튀김,4,0,4,FALSE
치커리 겉절이,4,0,4,FALSE
치킨데리야끼,4,0,4,FALSE
카레라이스_돼지고기,4,0,4,FALSE
커피_카라멜 마끼아또 핫(HOT),4,0,4,FALSE
콩나물잡채,4,0,4,FALSE
콩비지찌개,4,0,4,FALSE
토란국,4,0,4,FALSE
피자,4,0,4,FALSE
피자_갈릭쉬림프 피자 (L),4,0,4,FALSE
해물 완자전,4,0,4,FALSE
햄구이,4,0,4,FALSE
햄채소볶음,4,0,4,FALSE
혼합잡곡밥,4,0,4,FALSE
홍합 미역국,4,0,4,FALSE
흑미밥,4,0,4,FALSE
커피_카페 라떼 아이스(ICED),18,15,3,TRUE
베이글_어니언 베이글,12,9,3,TRUE
베이글_블루베리 베이글,10,7,3,TRUE
라떼_녹차 라떼 핫(HOT),7,4,3,TRUE
라떼_토피넛 라떼 아이스(ICED),7,4,3,TRUE
라떼_토피넛 라떼 핫(HOT),7,4,3,TRUE
커피_카라멜마끼아또 아이스(ICED),7,4,3,TRUE
피자_고르곤졸라 피자,7,4,3,FALSE
닭볶음(닭갈비),6,3,3,FALSE
스무디_플레인 요거트 스무디,6,3,3,FALSE
와플_플레인 크로플,6,3,3,TRUE
채소전,6,3,3,FALSE
커피_바닐라 라떼 아이스(ICED) (L),6,3,3,TRUE
허니브레드_허니브레드,6,3,3,TRUE
가지나물,5,2,3,TRUE
고구마튀김,5,2,3,FALSE
김밥_참치,5,2,3,FALSE
달걀말이_채소,5,2,3,FALSE
닭조림,5,2,3,FALSE
된장국_시금치,5,2,3,FALSE
두부조림,5,2,3,FALSE
떡만두국,5,2,3,FALSE
미소된장국,5,2,3,FALSE
배추나물,5,2,3,FALSE
생선까스,5,2,3,FALSE
순대,5,2,3,FALSE
오징어무침_채소,5,2,3,FALSE
와플_아이스크림 크로플,5,2,3,FALSE
유채나물,5,2,3,FALSE
쫄면,5,2,3,FALSE
커피_돌체 라떼 핫(HOT),5,2,3,FALSE
커피_아메리카노 핫(HOT) (R),5,2,3,FALSE
팥죽,5,2,3,TRUE
피자_베이컨포테이토 피자 (L),5,2,3,FALSE
갈치구이,4,1,3,FALSE
감자볶음_채소,4,1,3,FALSE
과ㆍ채주스_수박 주스,4,1,3,FALSE
